ID,Severity,City,County,State,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Wind_Speed(mph),Weather_Condition
0,3,Dayton,Montgomery,OH,36.9,,91.0,29.68,,Light Rain
1,2,Reynoldsburg,Franklin,OH,37.9,,100.0,29.65,,Light Rain
2,2,Williamsburg,Clermont,OH,36.0,33.3,100.0,29.67,3.5,Overcast
3,3,Dayton,Montgomery,OH,35.1,31.0,96.0,29.64,4.6,Mostly Cloudy
4,2,Dayton,Montgomery,OH,36.0,33.3,89.0,29.65,3.5,Mostly Cloudy
5,3,Westerville,Franklin,OH,37.9,35.5,97.0,29.63,3.5,Light Rain
6,2,Dayton,Montgomery,OH,34.0,31.0,100.0,29.66,3.5,Overcast
7,3,Dayton,Montgomery,OH,34.0,31.0,100.0,29.66,3.5,Overcast
8,2,Dayton,Montgomery,OH,33.3,,99.0,29.67,1.2,Mostly Cloudy
9,3,Westerville,Franklin,OH,37.4,33.8,100.0,29.62,4.6,Light Rain
10,3,Columbus,Franklin,OH,35.6,30.7,93.0,29.64,5.8,Rain
11,3,Reynoldsburg,Franklin,OH,37.4,33.8,100.0,29.62,4.6,Light Rain
12,2,Dayton,Montgomery,OH,33.8,,100.0,29.63,2.3,Overcast
13,2,Dayton,Montgomery,OH,36.0,31.1,89.0,29.65,5.8,Mostly Cloudy
14,2,Columbus,Franklin,OH,37.4,33.8,100.0,29.62,4.6,Light Rain
15,2,Dayton,Montgomery,OH,33.8,,100.0,29.63,2.3,Overcast
16,2,Dayton,Montgomery,OH,35.6,,99.0,29.65,2.3,Mostly Cloudy
17,2,Dayton,Montgomery,OH,36.0,31.1,89.0,29.65,5.8,Mostly Cloudy
18,2,Dayton,Montgomery,OH,37.4,32.1,93.0,29.63,6.9,Overcast
19,2,Dayton,Montgomery,OH,36.0,30.3,89.0,29.65,6.9,Mostly Cloudy
20,2,Columbus,Franklin,OH,33.8,29.6,100.0,29.62,4.6,Light Snow
21,2,Dayton,Montgomery,OH,36.0,30.3,89.0,29.65,6.9,Mostly Cloudy
22,2,Miamisburg,Montgomery,OH,35.1,28.6,89.0,29.65,8.1,Overcast
23,3,Columbus,Franklin,OH,37.0,32.4,96.0,29.63,5.8,Overcast
24,2,Dayton,Montgomery,OH,37.9,30.9,76.0,29.62,10.4,Overcast
25,2,Johnstown,Licking,OH,37.9,34.4,100.0,29.6,4.6,Light Snow
26,2,Dayton,Montgomery,OH,36.0,29.0,86.0,29.63,9.2,Light Snow
27,2,Dayton,Montgomery,OH,39.9,32.9,70.0,29.61,11.5,Mostly Cloudy
28,2,Dayton,Montgomery,OH,39.9,34.5,65.0,29.61,8.1,Mostly Cloudy
29,2,Dayton,Montgomery,OH,39.2,35.9,75.0,29.62,4.6,Mostly Cloudy
30,2,Dublin,Franklin,OH,37.0,31.6,89.0,29.61,6.9,Overcast
31,2,Dayton,Montgomery,OH,34.2,31.2,97.0,29.66,3.5,Light Rain
32,3,Columbus,Franklin,OH,33.8,28.6,100.0,29.62,5.8,Overcast
33,3,Columbus,Franklin,OH,34.0,,100.0,29.65,,Overcast
34,2,Columbus,Franklin,OH,33.1,26.1,92.0,29.63,8.1,Light Snow
35,2,Columbus,Franklin,OH,33.1,25.5,92.0,29.63,9.2,Overcast
36,2,Dayton,Montgomery,OH,23.0,11.7,93.0,29.65,11.5,Light Snow
37,2,Canal Winchester,Fairfield,OH,23.0,11.7,93.0,29.63,11.5,Light Snow
38,2,Dayton,Montgomery,OH,22.8,11.5,89.0,29.69,11.5,Light Snow
39,3,Columbus,Franklin,OH,26.6,18.2,86.0,29.62,8.1,Light Snow
40,2,Lebanon,Warren,OH,21.0,10.6,85.0,29.67,9.2,Light Snow
